Cargo,Salario,Experiencia_previa,Nivel_experiencia,Ubicacion_empresa,Cargos_generalizados
Analyst,42650,0.0,EN,,Analyst
Analyst,44632,3.0,EN,,Analyst
Analyst,48389,3.0,EN,,Analyst
Analyst,48665,0.0,EN,,Analyst
Associate,72886,6.0,MI,,Other
Analyst,45225,0.0,EN,,Analyst
Senior Analyst,60712,0.0,EN,,Analyst
Analyst,41290,1.0,EN,,Analyst
Analyst,44993,0.0,EN,,Analyst
Analyst,46118,1.0,EN,,Analyst
Senior Analyst,65212,1.0,EN,,Analyst
Senior Manager,193621,9.0,MI,,Other
Analyst,44223,0.0,EN,,Analyst
Senior Analyst,53339,1.0,EN,,Analyst
Analyst,43638,1.0,EN,,Analyst
Analyst,44963,0.0,EN,,Analyst
Analyst,42686,0.0,EN,,Analyst
Analyst,40381,0.0,EN,,Analyst
Analyst,48461,0.0,EN,,Analyst
Analyst,46584,1.0,EN,,Analyst
Senior Analyst,50739,0.0,EN,,Analyst
Associate,82083,5.0,MI,,Other
Analyst,40324,1.0,EN,,Analyst
Analyst,44001,1.0,EN,,Analyst
Analyst,43059,0.0,EN,,Analyst
Analyst,41685,2.0,EN,,Analyst
Associate,95982,0.0,EN,,Other
Analyst,44699,0.0,EN,,Analyst
Senior Analyst,52690,3.0,EN,,Analyst
Analyst,40041,0.0,EN,,Analyst
Senior Analyst,56314,3.0,EN,,Analyst
Analyst,49785,2.0,EN,,Analyst
Analyst,41284,1.0,EN,,Analyst
Analyst,40562,0.0,EN,,Analyst
Analyst,46741,0.0,EN,,Analyst
Analyst,45100,1.0,EN,,Analyst
Analyst,41712,0.0,EN,,Analyst
Analyst,47069,1.0,EN,,Analyst
Analyst,40460,1.0,EN,,Analyst
Analyst,47068,0.0,EN,,Analyst
Senior Analyst,50813,0.0,EN,,Analyst
Manager,129191,3.0,EN,,Other
Senior Analyst,66338,5.0,MI,,Analyst
Analyst,46749,2.0,EN,,Analyst
Manager,108665,6.0,MI,,Other
Associate,76964,5.0,MI,,Other
Analyst,47417,1.0,EN,,Analyst
Analyst,47669,0.0,EN,,Analyst
Analyst,40318,0.0,EN,,Analyst
Analyst,46743,0.0,EN,,Analyst
Analyst,40060,2.0,EN,,Analyst
Analyst,46129,2.0,EN,,Analyst
Senior Manager,189435,10.0,SE,,Other
Senior Analyst,62537,0.0,EN,,Analyst
Analyst,44145,1.0,EN,,Analyst
Analyst,47998,0.0,EN,,Analyst
Analyst,49310,2.0,EN,,Analyst
Analyst,49235,1.0,EN,,Analyst
Senior Analyst,68245,0.0,EN,,Analyst
Analyst,47498,1.0,EN,,Analyst
Analyst,40636,3.0,EN,,Analyst
Analyst,45233,1.0,EN,,Analyst
Senior Analyst,53275,4.0,EN,,Analyst
Analyst,43540,1.0,EN,,Analyst
Analyst,40275,0.0,EN,,Analyst
Analyst,44361,0.0,EN,,Analyst
Analyst,41936,1.0,EN,,Analyst
Analyst,45830,0.0,EN,,Analyst
Analyst,44521,0.0,EN,,Analyst
Analyst,45997,0.0,EN,,Analyst
Analyst,44218,2.0,EN,,Analyst
Manager,140926,12.0,SE,,Other
Analyst,48886,0.0,EN,,Analyst
Analyst,49081,1.0,EN,,Analyst
Analyst,42195,0.0,EN,,Analyst
Senior Analyst,50130,0.0,EN,,Analyst
Senior Analyst,55472,0.0,EN,,Analyst
Analyst,43269,1.0,EN,,Analyst
Analyst,43712,0.0,EN,,Analyst
Analyst,42377,3.0,EN,,Analyst
Senior Analyst,69316,0.0,EN,,Analyst
Analyst,46418,0.0,EN,,Analyst
Senior Analyst,65566,5.0,MI,,Analyst
Analyst,48976,1.0,EN,,Analyst
Analyst,43760,0.0,EN,,Analyst
Analyst,41047,0.0,EN,,Analyst
Analyst,43225,2.0,EN,,Analyst
Analyst,42361,0.0,EN,,Analyst
Analyst,43835,0.0,EN,,Analyst
Analyst,47326,2.0,EN,,Analyst
Senior Analyst,61221,0.0,EN,,Analyst
Analyst,42943,0.0,EN,,Analyst
Analyst,48751,0.0,EN,,Analyst
Analyst,42136,0.0,EN,,Analyst
Analyst,42472,0.0,EN,,Analyst
Analyst,46677,0.0,EN,,Analyst
Analyst,45977,3.0,EN,,Analyst
Analyst,41345,3.0,EN,,Analyst
Director,323196,10.0,SE,,Other
Analyst,42727,0.0,EN,,Analyst
Senior Analyst,53218,0.0,EN,,Analyst
Analyst,48422,0.0,EN,,Analyst
Associate,83066,6.0,MI,,Other
Analyst,41627,0.0,EN,,Analyst
Director,388112,18.0,EX,,Other
Analyst,44469,0.0,EN,,Analyst
Analyst,41109,2.0,EN,,Analyst
Analyst,43924,1.0,EN,,Analyst
Senior Analyst,64232,2.0,EN,,Analyst
Analyst,49644,0.0,EN,,Analyst
Director,284733,11.0,SE,,Other
Analyst,48802,0.0,EN,,Analyst
Analyst,41748,0.0,EN,,Analyst
Senior Analyst,61575,1.0,EN,,Analyst
Analyst,46062,1.0,EN,,Analyst
Analyst,40251,1.0,EN,,Analyst
Analyst,42416,0.0,EN,,Analyst
Analyst,43951,0.0,EN,,Analyst
Analyst,47903,2.0,EN,,Analyst
Analyst,45275,0.0,EN,,Analyst
Senior Analyst,61046,1.0,EN,,Analyst
Analyst,48204,2.0,EN,,Analyst
Senior Analyst,51053,1.0,EN,,Analyst
Analyst,42560,0.0,EN,,Analyst
Analyst,40947,3.0,EN,,Analyst
Senior Analyst,68432,0.0,EN,,Analyst
Analyst,44561,1.0,EN,,Analyst
Senior Analyst,63882,1.0,EN,,Analyst
Analyst,45903,0.0,EN,,Analyst
Analyst,48470,0.0,EN,,Analyst
Analyst,45704,0.0,EN,,Analyst
Senior Analyst,57064,0.0,EN,,Analyst
Analyst,48546,0.0,EN,,Analyst
Senior Analyst,50044,5.0,MI,,Analyst
Analyst,41604,0.0,EN,,Analyst
Analyst,45022,0.0,EN,,Analyst
Manager,107432,8.0,MI,,Other
Analyst,45499,0.0,EN,,Analyst
Analyst,47846,0.0,EN,,Analyst
Senior Analyst,67299,1.0,EN,,Analyst
Analyst,48047,2.0,EN,,Analyst
Senior Manager,186356,8.0,MI,,Other
Analyst,48539,0.0,EN,,Analyst
Analyst,45146,0.0,EN,,Analyst
Senior Analyst,67321,0.0,EN,,Analyst
Analyst,43137,2.0,EN,,Analyst
Analyst,46974,0.0,EN,,Analyst
Analyst,48602,1.0,EN,,Analyst
Analyst,43036,0.0,EN,,Analyst
Analyst,49318,0.0,EN,,Analyst
Analyst,48356,0.0,EN,,Analyst
Analyst,49894,1.0,EN,,Analyst
Analyst,42344,2.0,EN,,Analyst
Analyst,43343,0.0,EN,,Analyst
Analyst,47750,0.0,EN,,Analyst
Analyst,42440,0.0,EN,,Analyst
Analyst,45236,3.0,EN,,Analyst
Analyst,41514,0.0,EN,,Analyst
Analyst,45084,1.0,EN,,Analyst
Analyst,41676,1.0,EN,,Analyst
Analyst,46127,0.0,EN,,Analyst
Associate,99416,4.0,EN,,Other
Analyst,47899,1.0,EN,,Analyst
Analyst,45927,0.0,EN,,Analyst
Analyst,48891,1.0,EN,,Analyst
Analyst,41284,0.0,EN,,Analyst
Director,313649,17.0,EX,,Other
Analyst,49111,0.0,EN,,Analyst
Senior Analyst,51509,0.0,EN,,Analyst
Analyst,49393,0.0,EN,,Analyst
Analyst,46580,0.0,EN,,Analyst
Analyst,44538,2.0,EN,,Analyst
Analyst,46507,0.0,EN,,Analyst
Analyst,47308,1.0,EN,,Analyst
Analyst,45952,0.0,EN,,Analyst
Senior Analyst,68505,1.0,EN,,Analyst
Senior Analyst,65316,0.0,EN,,Analyst
Analyst,47401,1.0,EN,,Analyst
Manager,129017,11.0,SE,,Other
Analyst,46347,1.0,EN,,Analyst
Analyst,47573,2.0,EN,,Analyst
Associate,97708,5.0,MI,,Other
Analyst,46002,0.0,EN,,Analyst
Analyst,47201,1.0,EN,,Analyst
Analyst,46733,0.0,EN,,Analyst
Senior Manager,191793,17.0,EX,,Other
Senior Analyst,68505,1.0,EN,,Analyst
Analyst,41035,0.0,EN,,Analyst
Manager,126871,7.0,MI,,Other
Senior Analyst,51532,0.0,EN,,Analyst
Analyst,43339,1.0,EN,,Analyst
Analyst,44506,0.0,EN,,Analyst
Analyst,40045,0.0,EN,,Analyst
Analyst,48938,0.0,EN,,Analyst
Analyst,48185,0.0,EN,,Analyst
Analyst,47579,2.0,EN,,Analyst
Director,375647,14.0,SE,,Other
Analyst,47386,0.0,EN,,Analyst
Analyst,43952,1.0,EN,,Analyst
Analyst,48981,0.0,EN,,Analyst
Analyst,40702,1.0,EN,,Analyst
Director,235565,17.0,EX,,Other
Analyst,41641,0.0,EN,,Analyst
Analyst,44350,0.0,EN,,Analyst
Analyst,48887,0.0,EN,,Analyst
Analyst,47499,0.0,EN,,Analyst
Analyst,42128,1.0,EN,,Analyst
Analyst,48271,0.0,EN,,Analyst
Analyst,41029,0.0,EN,,Analyst
Analyst,43659,3.0,EN,,Analyst
Manager,140867,7.0,MI,,Other
Analyst,49806,1.0,EN,,Analyst
Analyst,49110,1.0,EN,,Analyst
Analyst,42081,0.0,EN,,Analyst
Analyst,41017,0.0,EN,,Analyst
Analyst,48869,0.0,EN,,Analyst
Senior Analyst,66965,5.0,MI,,Analyst
Analyst,42338,0.0,EN,,Analyst
Analyst,49380,0.0,EN,,Analyst
Manager,117354,6.0,MI,,Other
Analyst,41679,2.0,EN,,Analyst
Analyst,44207,0.0,EN,,Analyst
Analyst,45059,0.0,EN,,Analyst
Associate,95056,0.0,EN,,Other
Analyst,48777,0.0,EN,,Analyst
Senior Analyst,56728,4.0,EN,,Analyst
Senior Analyst,53113,1.0,EN,,Analyst
Analyst,45039,0.0,EN,,Analyst
Analyst,41619,0.0,EN,,Analyst
Senior Analyst,62672,1.0,EN,,Analyst
Analyst,42925,0.0,EN,,Analyst
Analyst,44343,1.0,EN,,Analyst
Analyst,47967,0.0,EN,,Analyst
Associate,92323,4.0,EN,,Other
Analyst,42002,2.0,EN,,Analyst
Senior Manager,199577,11.0,SE,,Other
Associate,96478,0.0,EN,,Other
Senior Analyst,51817,3.0,EN,,Analyst
Analyst,45604,2.0,EN,,Analyst
Analyst,46844,2.0,EN,,Analyst
Analyst,46425,0.0,EN,,Analyst
Analyst,41908,0.0,EN,,Analyst
Analyst,42848,0.0,EN,,Analyst
Analyst,45895,0.0,EN,,Analyst
Analyst,41580,0.0,EN,,Analyst
Senior Analyst,55417,0.0,EN,,Analyst
Analyst,41803,0.0,EN,,Analyst
Manager,113837,8.0,MI,,Other
Senior Analyst,69851,3.0,EN,,Analyst
Analyst,42429,1.0,EN,,Analyst
Associate,90346,2.0,EN,,Other
Analyst,44980,0.0,EN,,Analyst
Manager,124711,6.0,MI,,Other
Analyst,42803,0.0,EN,,Analyst
Analyst,44015,0.0,EN,,Analyst
Senior Analyst,55693,2.0,EN,,Analyst
Senior Analyst,52083,1.0,EN,,Analyst
Analyst,46907,0.0,EN,,Analyst
Senior Analyst,63008,0.0,EN,,Analyst
Senior Analyst,64112,0.0,EN,,Analyst
Analyst,44888,2.0,EN,,Analyst
Analyst,41921,2.0,EN,,Analyst
Analyst,41926,0.0,EN,,Analyst
Director,324783,19.0,EX,,Other
Analyst,46499,1.0,EN,,Analyst
Analyst,42754,0.0,EN,,Analyst
Analyst,46812,0.0,EN,,Analyst
Analyst,47001,0.0,EN,,Analyst
Analyst,40646,1.0,EN,,Analyst
Associate,97879,3.0,EN,,Other
Analyst,49013,0.0,EN,,Analyst
Analyst,41120,0.0,EN,,Analyst
Manager,126181,5.0,MI,,Other
Associate,76143,6.0,MI,,Other
Analyst,40998,0.0,EN,,Analyst
Senior Manager,198814,6.0,MI,,Other
Analyst,43417,0.0,EN,,Analyst
Senior Analyst,59111,4.0,EN,,Analyst
Associate,72328,0.0,EN,,Other
Analyst,44225,1.0,EN,,Analyst
Analyst,47561,1.0,EN,,Analyst
Analyst,44512,2.0,EN,,Analyst
Analyst,43352,2.0,EN,,Analyst
Analyst,49619,3.0,EN,,Analyst
Analyst,43991,2.0,EN,,Analyst
Analyst,44712,0.0,EN,,Analyst
Analyst,47401,0.0,EN,,Analyst
Associate,85391,1.0,EN,,Other
Analyst,47638,2.0,EN,,Analyst
Analyst,41284,0.0,EN,,Analyst
Analyst,46251,2.0,EN,,Analyst
Analyst,47183,3.0,EN,,Analyst
Analyst,44214,0.0,EN,,Analyst
Analyst,41227,0.0,EN,,Analyst
Analyst,43474,2.0,EN,,Analyst
Analyst,42178,0.0,EN,,Analyst
Analyst,40436,0.0,EN,,Analyst
Analyst,41354,0.0,EN,,Analyst
Analyst,40417,0.0,EN,,Analyst
Analyst,44617,0.0,EN,,Analyst
Analyst,44163,0.0,EN,,Analyst
Analyst,45123,0.0,EN,,Analyst
Analyst,41550,0.0,EN,,Analyst
Analyst,41989,0.0,EN,,Analyst
Analyst,46206,1.0,EN,,Analyst
Analyst,42255,1.0,EN,,Analyst
Analyst,42667,1.0,EN,,Analyst
Analyst,41734,2.0,EN,,Analyst
Analyst,40975,0.0,EN,,Analyst
Analyst,47695,0.0,EN,,Analyst
Analyst,42786,0.0,EN,,Analyst
Analyst,48681,0.0,EN,,Analyst
Analyst,43185,0.0,EN,,Analyst
Analyst,41577,0.0,EN,,Analyst
Analyst,41691,0.0,EN,,Analyst
Senior Analyst,51534,3.0,EN,,Analyst
Analyst,49020,0.0,EN,,Analyst
Manager,120184,7.0,MI,,Other
Manager,147560,6.0,MI,,Other
Analyst,49602,0.0,EN,,Analyst
Analyst,42538,0.0,EN,,Analyst
Analyst,41027,0.0,EN,,Analyst
Analyst,43716,0.0,EN,,Analyst
Senior Analyst,60085,0.0,EN,,Analyst
Analyst,48682,0.0,EN,,Analyst
Analyst,42710,0.0,EN,,Analyst
Senior Analyst,53390,2.0,EN,,Analyst
Associate,99130,3.0,EN,,Other
Analyst,45152,0.0,EN,,Analyst
Analyst,43357,0.0,EN,,Analyst
Senior Analyst,57000,0.0,EN,,Analyst
Analyst,44134,0.0,EN,,Analyst
Analyst,44148,1.0,EN,,Analyst
Senior Analyst,56181,0.0,EN,,Analyst
Analyst,48287,1.0,EN,,Analyst
Senior Analyst,69421,3.0,EN,,Analyst
Analyst,44342,0.0,EN,,Analyst
Senior Analyst,61710,2.0,EN,,Analyst
Senior Analyst,61575,1.0,EN,,Analyst
Analyst,46038,0.0,EN,,Analyst
Associate,78493,4.0,EN,,Other
Analyst,43292,3.0,EN,,Analyst
Analyst,42657,2.0,EN,,Analyst
Analyst,42400,1.0,EN,,Analyst
Analyst,41713,0.0,EN,,Analyst
Analyst,46664,0.0,EN,,Analyst
Senior Analyst,66339,1.0,EN,,Analyst
Analyst,45450,0.0,EN,,Analyst
Analyst,43355,2.0,EN,,Analyst
Analyst,42140,0.0,EN,,Analyst
Senior Analyst,52406,5.0,MI,,Analyst
Analyst,42440,2.0,EN,,Analyst
Senior Analyst,64913,0.0,EN,,Analyst
Analyst,41551,0.0,EN,,Analyst
Senior Analyst,54689,0.0,EN,,Analyst
Analyst,48747,0.0,EN,,Analyst
Senior Analyst,59907,0.0,EN,,Analyst
Analyst,45319,2.0,EN,,Analyst
Senior Analyst,60707,2.0,EN,,Analyst
Analyst,43124,1.0,EN,,Analyst
Analyst,43137,2.0,EN,,Analyst
Analyst,42121,0.0,EN,,Analyst
Analyst,45950,2.0,EN,,Analyst
Senior Analyst,55525,0.0,EN,,Analyst
Manager,112580,8.0,MI,,Other
Analyst,42160,0.0,EN,,Analyst
Analyst,40335,0.0,EN,,Analyst
Analyst,40363,0.0,EN,,Analyst
Analyst,49029,0.0,EN,,Analyst
Analyst,48775,1.0,EN,,Analyst
Analyst,40396,0.0,EN,,Analyst
Analyst,45998,3.0,EN,,Analyst
Senior Analyst,68996,0.0,EN,,Analyst
Analyst,48222,1.0,EN,,Analyst
Analyst,47982,0.0,EN,,Analyst
Analyst,44888,3.0,EN,,Analyst
Analyst,42457,2.0,EN,,Analyst
Senior Analyst,58619,1.0,EN,,Analyst
Analyst,45482,0.0,EN,,Analyst
Analyst,47827,0.0,EN,,Analyst
Senior Manager,169300,10.0,SE,,Other
Analyst,48833,0.0,EN,,Analyst
Associate,96909,1.0,EN,,Other
Senior Analyst,65639,4.0,EN,,Analyst
Analyst,43352,2.0,EN,,Analyst
Senior Analyst,63841,0.0,EN,,Analyst
Analyst,46988,2.0,EN,,Analyst
Analyst,48739,0.0,EN,,Analyst
Analyst,46438,0.0,EN,,Analyst
Analyst,49253,0.0,EN,,Analyst
Analyst,43508,0.0,EN,,Analyst
Analyst,43586,0.0,EN,,Analyst
Analyst,46064,1.0,EN,,Analyst
Analyst,43031,1.0,EN,,Analyst
Analyst,40513,1.0,EN,,Analyst
Analyst,47018,0.0,EN,,Analyst
Senior Analyst,50368,3.0,EN,,Analyst
Associate,99098,8.0,MI,,Other
Analyst,47735,2.0,EN,,Analyst
Analyst,42722,0.0,EN,,Analyst
Associate,73190,3.0,EN,,Other
Analyst,40134,0.0,EN,,Analyst
Associate,93854,1.0,EN,,Other
Senior Analyst,67014,0.0,EN,,Analyst
Analyst,46726,1.0,EN,,Analyst
Analyst,49497,0.0,EN,,Analyst
Analyst,40270,3.0,EN,,Analyst
Senior Analyst,60155,4.0,EN,,Analyst
Analyst,44054,1.0,EN,,Analyst
Analyst,49006,0.0,EN,,Analyst
Analyst,41008,0.0,EN,,Analyst
Analyst,44497,1.0,EN,,Analyst
Analyst,45528,0.0,EN,,Analyst
Analyst,41196,1.0,EN,,Analyst
Senior Analyst,60159,0.0,EN,,Analyst
Senior Analyst,65316,0.0,EN,,Analyst
Analyst,49744,0.0,EN,,Analyst
Analyst,41865,0.0,EN,,Analyst
Analyst,45784,0.0,EN,,Analyst
Manager,111599,10.0,SE,,Other
Associate,77261,6.0,MI,,Other
Analyst,41323,2.0,EN,,Analyst
Analyst,44664,1.0,EN,,Analyst
Senior Analyst,65927,1.0,EN,,Analyst
Analyst,42723,0.0,EN,,Analyst
Director,313938,12.0,SE,,Other
Analyst,46616,0.0,EN,,Analyst
Analyst,47517,2.0,EN,,Analyst
Senior Analyst,66311,2.0,EN,,Analyst
Analyst,43620,0.0,EN,,Analyst
Associate,72359,9.0,MI,,Other
Analyst,43324,0.0,EN,,Analyst
Senior Analyst,66984,0.0,EN,,Analyst
Senior Analyst,63154,3.0,EN,,Analyst
Analyst,45992,2.0,EN,,Analyst
Analyst,44887,0.0,EN,,Analyst
Senior Analyst,57046,0.0,EN,,Analyst
Analyst,40065,0.0,EN,,Analyst
Analyst,43676,0.0,EN,,Analyst
Analyst,43428,0.0,EN,,Analyst
Analyst,43976,0.0,EN,,Analyst
Senior Analyst,66820,1.0,EN,,Analyst
Senior Analyst,64798,2.0,EN,,Analyst
Analyst,40403,0.0,EN,,Analyst
Associate,99603,5.0,MI,,Other
Associate,96198,2.0,EN,,Other
Senior Analyst,51930,4.0,EN,,Analyst
Analyst,48996,2.0,EN,,Analyst
Analyst,46808,3.0,EN,,Analyst
Senior Manager,167610,12.0,SE,,Other
Analyst,44454,3.0,EN,,Analyst
Associate,86231,6.0,MI,,Other
Analyst,45252,2.0,EN,,Analyst
Analyst,44011,3.0,EN,,Analyst
Analyst,47519,0.0,EN,,Analyst
Analyst,46947,3.0,EN,,Analyst
Analyst,46556,3.0,EN,,Analyst
Analyst,43363,0.0,EN,,Analyst
Analyst,43391,1.0,EN,,Analyst
Analyst,41164,0.0,EN,,Analyst
Analyst,48476,1.0,EN,,Analyst
Senior Manager,167525,10.0,SE,,Other
Senior Analyst,65594,0.0,EN,,Analyst
Analyst,45579,0.0,EN,,Analyst
Senior Analyst,65880,0.0,EN,,Analyst
Analyst,48948,0.0,EN,,Analyst
Analyst,45525,0.0,EN,,Analyst
Analyst,41819,0.0,EN,,Analyst
Analyst,49752,1.0,EN,,Analyst
Analyst,48611,0.0,EN,,Analyst
Analyst,43295,2.0,EN,,Analyst
Analyst,40395,0.0,EN,,Analyst
Senior Analyst,62960,0.0,EN,,Analyst
Analyst,41912,0.0,EN,,Analyst
Analyst,45013,0.0,EN,,Analyst
Senior Analyst,56854,0.0,EN,,Analyst
Analyst,47681,0.0,EN,,Analyst
Analyst,43638,3.0,EN,,Analyst
Analyst,45776,1.0,EN,,Analyst
Analyst,47216,0.0,EN,,Analyst
Analyst,46824,0.0,EN,,Analyst
Manager,143778,6.0,MI,,Other
Senior Analyst,55693,2.0,EN,,Analyst
Senior Analyst,60465,0.0,EN,,Analyst
Analyst,40816,0.0,EN,,Analyst
Analyst,44427,1.0,EN,,Analyst
Analyst,48930,0.0,EN,,Analyst
Manager,148273,7.0,MI,,Other
Analyst,48583,1.0,EN,,Analyst
Analyst,40413,1.0,EN,,Analyst
Analyst,46891,2.0,EN,,Analyst
Senior Analyst,56166,4.0,EN,,Analyst
Analyst,43986,0.0,EN,,Analyst
Analyst,43621,2.0,EN,,Analyst
Analyst,40228,0.0,EN,,Analyst
Analyst,49384,0.0,EN,,Analyst
Analyst,48969,1.0,EN,,Analyst
Senior Analyst,58341,4.0,EN,,Analyst
Analyst,44448,0.0,EN,,Analyst
Senior Analyst,51655,4.0,EN,,Analyst
Analyst,42776,2.0,EN,,Analyst
Analyst,47326,0.0,EN,,Analyst
Analyst,48098,0.0,EN,,Analyst
Analyst,49903,0.0,EN,,Analyst
Analyst,45704,0.0,EN,,Analyst
Analyst,41984,0.0,EN,,Analyst
Analyst,48447,2.0,EN,,Analyst
Senior Analyst,50809,1.0,EN,,Analyst
Analyst,45181,0.0,EN,,Analyst
Analyst,45579,0.0,EN,,Analyst
Analyst,44543,0.0,EN,,Analyst
Analyst,41380,1.0,EN,,Analyst
Senior Analyst,53406,3.0,EN,,Analyst
Analyst,41662,0.0,EN,,Analyst
Analyst,41955,0.0,EN,,Analyst
Analyst,45323,0.0,EN,,Analyst
Associate,90201,4.0,EN,,Other
Analyst,40222,0.0,EN,,Analyst
Analyst,43247,0.0,EN,,Analyst
Senior Analyst,62673,2.0,EN,,Analyst
Senior Analyst,69306,2.0,EN,,Analyst
Analyst,48462,1.0,EN,,Analyst
Senior Analyst,54643,4.0,EN,,Analyst
Senior Analyst,57182,3.0,EN,,Analyst
Analyst,49395,0.0,EN,,Analyst
Senior Analyst,60348,2.0,EN,,Analyst
Associate,72626,4.0,EN,,Other
Analyst,43751,2.0,EN,,Analyst
Senior Analyst,65607,1.0,EN,,Analyst
Analyst,40183,0.0,EN,,Analyst
Analyst,47609,2.0,EN,,Analyst
Analyst,45896,0.0,EN,,Analyst
Analyst,40486,1.0,EN,,Analyst
Analyst,46808,3.0,EN,,Analyst
Associate,96535,0.0,EN,,Other
Analyst,44762,0.0,EN,,Analyst
Analyst,48839,0.0,EN,,Analyst
Analyst,43397,0.0,EN,,Analyst
Analyst,49611,0.0,EN,,Analyst
Senior Analyst,67051,3.0,EN,,Analyst
Associate,93516,7.0,MI,,Other
Analyst,44181,0.0,EN,,Analyst
Manager,100471,7.0,MI,,Other
Senior Analyst,69383,0.0,EN,,Analyst
Analyst,43132,0.0,EN,,Analyst
Analyst,40403,2.0,EN,,Analyst
Analyst,43239,0.0,EN,,Analyst
Analyst,42943,0.0,EN,,Analyst
Analyst,41664,0.0,EN,,Analyst
Senior Analyst,63290,0.0,EN,,Analyst
Analyst,47598,1.0,EN,,Analyst
Analyst,45447,0.0,EN,,Analyst
Analyst,42213,0.0,EN,,Analyst
Analyst,44397,0.0,EN,,Analyst
Analyst,48801,0.0,EN,,Analyst
Analyst,47532,1.0,EN,,Analyst
Senior Manager,184143,12.0,SE,,Other
Manager,124154,8.0,MI,,Other
Analyst,40786,2.0,EN,,Analyst
Analyst,47080,0.0,EN,,Analyst
Analyst,46572,1.0,EN,,Analyst
Analyst,42066,1.0,EN,,Analyst
Associate,72598,6.0,MI,,Other
Analyst,46506,0.0,EN,,Analyst
Analyst,44733,1.0,EN,,Analyst
Senior Analyst,53390,2.0,EN,,Analyst
Analyst,46227,0.0,EN,,Analyst
Analyst,46207,0.0,EN,,Analyst
Senior Analyst,62243,0.0,EN,,Analyst
Analyst,48479,0.0,EN,,Analyst
Analyst,48364,0.0,EN,,Analyst
Analyst,46564,3.0,EN,,Analyst
Analyst,48001,0.0,EN,,Analyst
Senior Analyst,55001,0.0,EN,,Analyst
Analyst,49901,2.0,EN,,Analyst
Senior Analyst,65919,2.0,EN,,Analyst
Senior Analyst,61353,0.0,EN,,Analyst
Analyst,49321,3.0,EN,,Analyst
Associate,93715,6.0,MI,,Other
Analyst,41052,1.0,EN,,Analyst
Analyst,46907,0.0,EN,,Analyst
Analyst,45518,0.0,EN,,Analyst
Analyst,43894,0.0,EN,,Analyst
Analyst,48355,1.0,EN,,Analyst
Analyst,47759,0.0,EN,,Analyst
Analyst,40105,1.0,EN,,Analyst
Senior Analyst,60014,1.0,EN,,Analyst
Analyst,44848,0.0,EN,,Analyst
Analyst,45103,0.0,EN,,Analyst
Associate,81191,4.0,EN,,Other
Analyst,45025,0.0,EN,,Analyst
Analyst,41943,0.0,EN,,Analyst
Senior Analyst,50393,0.0,EN,,Analyst
Analyst,42003,0.0,EN,,Analyst
